satisfaction_score,rating_acct,rating_HR,rating_OM,rating_security,rating_D&R,accounting_evaluation_breack_down_Q1,accounting_evaluation_breack_down_Q2,accounting_evaluation_breack_down_Q3,accounting_evaluation_breack_down_Q4,accounting_evaluation_breack_down_Q5,accounting_evaluation_breack_down_Q6,accounting_evaluation_breack_down_Q7,accounting_evaluation_breack_down_Q8,HR_evaluation_breack_down_Q1,HR_evaluation_breack_down_Q2,HR_evaluation_breack_down_Q3,HR_evaluation_breack_down_Q4,HR_evaluation_breack_down_Q5,HR_evaluation_breack_down_Q6,HR_evaluation_breack_down_Q7,HR_evaluation_breack_down_Q8,HR_evaluation_breack_down_Q9,HR_evaluation_breack_down_Q10,Office Management__evaluation_break down_Q1,Office Management__evaluation_break down_Q2,Office Management__evaluation_break down_Q3,Office Management__evaluation_break down_Q4,Office Management__evaluation_break down_Q5,Office Management__evaluation_break down_Q6,Office Management__evaluation_break down_Q7,Office Management__evaluation_break down_Q8,Office Management__evaluation_break down_Q9,Office Management__evaluation_break down_Q10,Security_department_evaluation_break down_Q1,Security_department_evaluation_break down_Q2,Security_department_evaluation_break down_Q3,Security_department_evaluation_break down_Q4,Security_department_evaluation_break down_Q5,Security_department_evaluation_break down_Q6,Security_department_evaluation_break down_Q7,Security_department_evaluation_break down_Q8,Security_department_evaluation_break down_Q9,Security_department_evaluation_break down_Q10,Security_department_evaluation_break down_Q11,data&records_department_evaluation_break down_Q1,data&records_department_evaluation_break down_Q2,data&records_department_evaluation_break down_Q3
7.0,7.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,8.0,6.0,8.0,1.0,10.0,,,9.0,7.0,9.0,7.0,10.0,8.0,10.0,10.0,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,6.0,,10.0,10.0,10.0,10.0,10.0,10.0
10.0,7.0,7.0,10.0,8.0,10.0,8.0,8.0,8.0,8.0,6.0,7.0,6.0,7.0,,4.0,7.0,7.0,,7.0,8.0,8.0,7.0,7.0,9.0,8.0,10.0,,,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0
6.0,6.0,7.0,8.0,7.0,,8.0,8.0,8.0,7.0,10.0,8.0,7.0,8.0,,8.0,8.0,10.0,10.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,7.0,9.0,9.0,,,8.0,10.0,9.0,10.0,9.0,8.0,6.0,8.0,,8.0,7.0,8.0,9.0,9.0,,,
9.0,7.0,10.0,10.0,9.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,7.0,9.0,,,10.0,10.0,,,10.0,10.0,10.0,10.0,5.0,6.0,7.0,7.0,,8.0,,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,7.0,8.0,6.0,6.0,6.0
7.0,4.0,8.0,9.0,8.0,,7.0,8.0,8.0,,4.0,7.0,8.0,7.0,,7.0,9.0,,,,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,,,,7.0,9.0,9.0,8.0,8.0,,8.0,,,6.0,8.0,,8.0,8.0,,,
5.0,5.0,7.0,8.0,7.0,1.0,2.0,8.0,8.0,8.0,8.0,5.0,6.0,5.0,3.0,1.0,8.0,,5.0,6.0,5.0,3.0,3.0,3.0,8.0,6.0,9.0,8.0,,,,9.0,1.0,8.0,10.0,10.0,,10.0,3.0,4.0,4.0,10.0,8.0,8.0,8.0,1.0,1.0,1.0
7.0,8.0,9.0,9.0,7.0,8.0,8.0,7.0,8.0,8.0,7.0,6.0,6.0,7.0,,9.0,9.0,9.0,,9.0,9.0,10.0,9.0,9.0,8.0,7.0,8.0,8.0,,,9.0,9.0,8.0,9.0,8.0,8.0,10.0,10.0,,,7.0,,9.0,7.0,9.0,8.0,6.0,7.0
8.0,9.0,,10.0,9.0,10.0,7.0,7.0,8.0,9.0,5.0,8.0,5.0,6.0,8.0,6.0,8.0,6.0,9.0,5.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
3.0,7.0,5.0,9.0,6.0,7.0,8.0,6.0,8.0,4.0,8.0,8.0,7.0,8.0,7.0,5.0,5.0,5.0,7.0,5.0,6.0,5.0,5.0,5.0,6.0,9.0,8.0,9.0,6.0,6.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
6.0,5.0,3.0,7.0,7.0,,2.0,6.0,8.0,8.0,7.0,8.0,6.0,7.0,,7.0,5.0,5.0,,5.0,3.0,6.0,9.0,3.0,7.0,7.0,8.0,,,,6.0,9.0,7.0,7.0,10.0,10.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
3.0,7.0,1.0,3.0,7.0,7.0,5.0,5.0,8.0,8.0,9.0,8.0,7.0,7.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,9.0,6.0,7.0,7.0,,2.0,,,3.0,8.0,8.0,8.0,,5.0,7.0,4.0,3.0,5.0,8.0,7.0,8.0,7.0,7.0,7.0
7.0,7.0,8.0,10.0,9.0,,,,7.0,7.0,10.0,8.0,7.0,7.0,,,8.0,,,10.0,9.0,9.0,9.0,9.0,7.0,10.0,7.0,,,,7.0,10.0,,9.0,10.0,10.0,,8.0,9.0,,9.0,9.0,8.0,8.0,8.0,,,
7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,,,,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,,,,,1.0,9.0,10.0,10.0,,6.0,7.0,9.0,4.0,9.0,9.0,9.0,9.0,,,
8.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,7.0,9.0,9.0,9.0,8.0,9.0,,,9.0,,,,,9.0,9.0,9.0,9.0,9.0,9.0,,,,10.0,10.0,9.0,9.0,10.0,10.0,,9.0,,,9.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0
7.0,7.0,8.0,8.0,9.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,9.0,,8.0,8.0,8.0,,,7.0,7.0,6.0,6.0,9.0,9.0,7.0,7.0,,,,,1.0,8.0,9.0,9.0,,7.0,10.0,,9.0,10.0,10.0,9.0,10.0,10.0,5.0,10.0
7.0,8.0,9.0,10.0,7.0,,8.0,7.0,7.0,8.0,9.0,,10.0,10.0,,10.0,8.0,10.0,,8.0,8.0,10.0,10.0,9.0,9.0,7.0,8.0,,,,,,3.0,9.0,9.0,,,3.0,,3.0,2.0,7.0,,4.0,8.0,,,
3.0,7.0,7.0,6.0,7.0,,7.0,7.0,7.0,7.0,7.0,5.0,5.0,6.0,7.0,5.0,5.0,2.0,,4.0,5.0,5.0,7.0,2.0,8.0,8.0,6.0,6.0,,,,8.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,8.0,7.0,7.0,8.0,,,
6.0,6.0,9.0,,9.0,,7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,,9.0,9.0,,,9.0,9.0,9.0,9.0,9.0,8.0,7.0,7.0,,,,,,9.0,9.0,9.0,9.0,,9.0,7.0,8.0,9.0,8.0,9.0,8.0,9.0,,,
6.0,3.0,7.0,10.0,8.0,2.0,7.0,7.0,7.0,3.0,7.0,2.0,1.0,2.0,6.0,2.0,10.0,2.0,,6.0,10.0,8.0,8.0,8.0,10.0,7.0,10.0,10.0,,,,6.0,3.0,6.0,10.0,10.0,7.0,10.0,10.0,4.0,4.0,6.0,6.0,2.0,6.0,2.0,2.0,2.0
7.0,7.0,8.0,9.0,8.0,,4.0,7.0,7.0,7.0,9.0,7.0,6.0,7.0,,8.0,8.0,3.0,5.0,8.0,8.0,8.0,7.0,9.0,8.0,6.0,1.0,8.0,,9.0,9.0,8.0,10.0,9.0,10.0,,7.0,6.0,,9.0,6.0,9.0,9.0,9.0,9.0,,,
4.0,3.0,3.0,8.0,9.0,,1.0,7.0,7.0,9.0,10.0,6.0,8.0,7.0,3.0,2.0,8.0,3.0,,5.0,5.0,8.0,2.0,5.0,7.0,7.0,3.0,,,,4.0,6.0,9.0,8.0,10.0,10.0,,9.0,9.0,9.0,4.0,9.0,8.0,8.0,9.0,,,
8.0,8.0,7.0,9.0,9.0,,7.0,8.0,6.0,8.0,9.0,8.0,7.0,7.0,8.0,7.0,7.0,,,,7.0,7.0,7.0,8.0,10.0,8.0,8.0,9.0,,,,9.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,,10.0,,9.0,9.0,9.0,,,
8.0,6.0,9.0,9.0,10.0,,,6.0,6.0,,10.0,9.0,8.0,7.0,,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,7.0,8.0,10.0,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,
7.0,5.0,8.0,7.0,10.0,,,6.0,6.0,,7.0,8.0,4.0,7.0,6.0,9.0,10.0,,,8.0,8.0,,9.0,8.0,8.0,8.0,1.0,8.0,,,8.0,7.0,10.0,8.0,8.0,8.0,9.0,8.0,9.0,,7.0,9.0,9.0,9.0,9.0,,,
6.0,7.0,4.0,9.0,7.0,,7.0,6.0,6.0,8.0,9.0,7.0,8.0,7.0,8.0,7.0,8.0,8.0,,8.0,,6.0,6.0,4.0,8.0,8.0,8.0,6.0,,,,8.0,5.0,8.0,7.0,7.0,8.0,6.0,7.0,6.0,4.0,5.0,6.0,6.0,7.0,,,
9.0,5.0,7.0,10.0,10.0,7.0,4.0,5.0,6.0,6.0,6.0,3.0,3.0,3.0,,7.0,7.0,,,,8.0,8.0,6.0,8.0,10.0,6.0,7.0,7.0,,,,10.0,1.0,5.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,7.0,9.0,3.0,4.0,3.0
5.0,1.0,8.0,9.0,8.0,,6.0,1.0,6.0,7.0,8.0,5.0,7.0,3.0,,,7.0,,,,7.0,7.0,7.0,7.0,8.0,7.0,5.0,7.0,,,,,7.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,3.0,7.0,8.0,8.0,9.0,,,
3.0,5.0,3.0,8.0,8.0,,9.0,,5.0,,1.0,,4.0,4.0,,3.0,2.0,1.0,,1.0,3.0,9.0,9.0,,7.0,8.0,7.0,,,,,9.0,,8.0,9.0,,9.0,9.0,,,,,,8.0,8.0,,,
7.0,6.0,6.0,10.0,10.0,,8.0,,5.0,5.0,5.0,5.0,6.0,6.0,10.0,9.0,6.0,,,7.0,7.0,6.0,5.0,4.0,8.0,7.0,6.0,,,,,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,,,
5.0,4.0,8.0,8.0,9.0,,6.0,,5.0,6.0,5.0,4.0,6.0,6.0,7.0,8.0,8.0,,,,,5.0,7.0,7.0,8.0,7.0,8.0,,,2.0,,,,,9.0,9.0,9.0,7.0,9.0,8.0,3.0,9.0,9.0,7.0,9.0,,,
7.0,8.0,8.0,10.0,8.0,10.0,4.0,,5.0,,8.0,8.0,8.0,8.0,6.0,9.0,7.0,,,,9.0,9.0,7.0,10.0,9.0,9.0,10.0,10.0,,,,,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,9.0,10.0,10.0
7.0,4.0,8.0,7.0,7.0,8.0,4.0,5.0,5.0,6.0,4.0,4.0,3.0,4.0,,9.0,9.0,9.0,,9.0,9.0,9.0,9.0,9.0,8.0,7.0,9.0,8.0,,8.0,,9.0,9.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,5.0,7.0,8.0,7.0,8.0
8.0,,10.0,9.0,10.0,,4.0,5.0,5.0,5.0,5.0,7.0,7.0,2.0,,10.0,10.0,,,10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,,,,,9.0,9.0,10.0,10.0,10.0,10.0,9.0,,,,9.0,9.0,9.0,,,
4.0,5.0,4.0,6.0,9.0,,5.0,4.0,5.0,5.0,7.0,4.0,3.0,2.0,7.0,6.0,8.0,,,8.0,8.0,8.0,8.0,6.0,9.0,9.0,9.0,7.0,,,,8.0,9.0,8.0,10.0,10.0,7.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,,,
5.0,4.0,8.0,8.0,7.0,8.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,2.0,,8.0,6.0,9.0,,7.0,8.0,5.0,10.0,,9.0,9.0,6.0,9.0,,,,9.0,3.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0
5.0,4.0,8.0,10.0,10.0,,,3.0,3.0,,10.0,,6.0,7.0,4.0,,9.0,4.0,,9.0,,9.0,9.0,7.0,10.0,8.0,8.0,10.0,,,,,7.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,10.0,,9.0,10.0,,,
4.0,3.0,4.0,9.0,10.0,,3.0,3.0,3.0,3.0,3.0,2.0,4.0,8.0,3.0,10.0,1.0,,,,3.0,5.0,9.0,2.0,10.0,10.0,8.0,10.0,,,9.0,,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,10.0,,,
5.0,3.0,7.0,9.0,9.0,,,2.0,2.0,3.0,7.0,6.0,6.0,6.0,,,7.0,,,7.0,8.0,8.0,8.0,7.0,9.0,7.0,8.0,9.0,,,8.0,8.0,9.0,9.0,9.0,,9.0,9.0,5.0,,6.0,,,,,,,
7.0,9.0,7.0,10.0,7.0,,,,10.0,9.0,10.0,9.0,9.0,10.0,,,7.0,7.0,,5.0,5.0,5.0,7.0,5.0,9.0,8.0,9.0,9.0,,,,,6.0,10.0,8.0,,10.0,8.0,9.0,,8.0,8.0,,7.0,8.0,,,
9.0,10.0,10.0,10.0,10.0,,,,10.0,10.0,10.0,10.0,9.0,10.0,,,10.0,,,8.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,,,,10.0,,10.0,10.0,10.0,10.0,10.0,,,,7.0,,10.0,10.0,10.0,,,
7.0,6.0,6.0,9.0,8.0,9.0,5.0,,10.0,9.0,,7.0,9.0,7.0,,9.0,10.0,8.0,,9.0,8.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,,,9.0,8.0,9.0,10.0,10.0,9.0,8.0,8.0,8.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
10.0,10.0,10.0,10.0,10.0,,10.0,,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,8.0,10.0,10.0,10.0,10.0,,,
4.0,10.0,5.0,8.0,10.0,,10.0,,10.0,,10.0,10.0,10.0,10.0,10.0,8.0,6.0,7.0,,9.0,7.0,10.0,10.0,7.0,10.0,7.0,8.0,10.0,,,7.0,8.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,
10.0,10.0,9.0,10.0,10.0,,10.0,,10.0,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,10.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
8.0,9.0,7.0,10.0,10.0,,,10.0,10.0,10.0,7.0,9.0,8.0,9.0,8.0,,8.0,,,,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,,,,10.0,8.0,10.0,10.0,,10.0,10.0,7.0,10.0,8.0,,,10.0,10.0,,,
8.0,10.0,9.0,10.0,10.0,10.0,,10.0,10.0,,10.0,10.0,10.0,10.0,6.0,,8.0,8.0,8.0,9.0,7.0,7.0,8.0,9.0,10.0,10.0,10.0,10.0,,9.0,,10.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
10.0,9.0,9.0,8.0,10.0,,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,6.0,8.0,10.0,,,10.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,
10.0,6.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,,9.0,9.0,7.0,9.0,9.0,9.0,8.0,9.0,6.0,9.0,8.0,10.0,10.0,,,10.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0
9.0,10.0,9.0,10.0,10.0,,9.0,10.0,10.0,,10.0,10.0,10.0,10.0,7.0,7.0,10.0,,,,8.0,10.0,,10.0,9.0,9.0,9.0,9.0,,,,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,,,
9.0,8.0,3.0,10.0,10.0,,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,3.0,10.0,10.0,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,8.0,10.0,8.0,10.0,,10.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0
8.0,10.0,10.0,9.0,,,8.0,10.0,10.0,,10.0,9.0,10.0,10.0,,,8.0,6.0,,7.0,9.0,9.0,9.0,7.0,5.0,3.0,8.0,7.0,,,,,1.0,8.0,9.0,,,,,,,8.0,,8.0,8.0,,,
,,8.0,10.0,9.0,,10.0,10.0,10.0,10.0,10.0,,,,,,9.0,9.0,9.0,9.0,9.0,,,,7.0,7.0,10.0,10.0,,10.0,,10.0,8.0,10.0,9.0,9.0,10.0,10.0,10.0,,9.0,10.0,10.0,9.0,10.0,,,
10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,,,,,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
7.0,8.0,8.0,8.0,10.0,4.0,10.0,10.0,10.0,,10.0,10.0,9.0,10.0,,,9.0,,8.0,9.0,8.0,8.0,9.0,8.0,6.0,8.0,8.0,9.0,,,,8.0,,8.0,10.0,10.0,9.0,9.0,9.0,,1.0,10.0,9.0,8.0,10.0,2.0,8.0,6.0
6.0,8.0,8.0,9.0,8.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,7.0,,9.0,10.0,10.0,9.0,7.0,9.0,8.0,9.0,9.0,,,,8.0,8.0,10.0,9.0,10.0,9.0,9.0,,,9.0,,,,,9.0,8.0,8.0
10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,
9.0,10.0,10.0,9.0,10.0,,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,,,10.0,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,,,,,9.0,6.0,8.0,10.0,10.0,10.0,10.0,10.0,,10.0,,,,,,,
10.0,10.0,8.0,10.0,10.0,8.0,10.0,10.0,10.0,8.0,,10.0,7.0,,,1.0,10.0,10.0,,10.0,9.0,,,8.0,8.0,6.0,10.0,,,,,10.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,,8.0,8.0,9.0,8.0,10.0,8.0,10.0,10.0
8.0,10.0,10.0,10.0,,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,9.0,10.0,10.0,,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,,,9.0,9.0,9.0,10.0,10.0,,10.0,9.0,10.0,8.0,8.0,10.0,,10.0,10.0,9.0,10.0,10.0
8.0,10.0,9.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,,,9.0,10.0,10.0,10.0,8.0,10.0,9.0,10.0,,,,,9.0,9.0,10.0,10.0,,,10.0,10.0,,10.0,10.0,,10.0,10.0,,,
6.0,6.0,8.0,7.0,6.0,6.0,6.0,1.0,1.0,6.0,5.0,6.0,6.0,6.0,,7.0,8.0,,,,8.0,8.0,8.0,8.0,7.0,1.0,5.0,5.0,,,7.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,,,,7.0,7.0,,7.0,6.0,6.0,6.0
